time,ds_id,lon,lat
8568,4,119.355403,24.830052
8568,4,119.499344,24.65934
8568,4,119.249655,24.257036
8568,4,119.31898,24.011312
8568,4,119.623724,24.47066
8568,4,118.892077,23.946784
8568,4,119.723623,24.618854
8576,4,119.604068,24.294127
8576,4,119.012366,24.813639
8576,4,118.744109,23.900908
8576,4,118.688073,24.413638
8576,4,118.987235,24.119646
8576,4,118.864916,23.995268
8576,4,118.49324,24.340046
8576,4,119.127924,24.002784
8576,4,118.834832,24.136909
8576,4,119.632402,24.281443
8576,4,118.910831,24.006634
8576,4,118.915355,24.001037
8576,4,119.334344,24.759395
8576,4,119.498448,24.660195
8576,4,119.249354,24.258184
8576,4,119.32043,24.012534
8576,4,119.623291,24.472105
8576,4,118.894313,23.948227
8584,4,119.600199,24.28686
8584,4,119.011734,24.812909
8584,4,118.751871,23.899989
8584,4,118.68738,24.414891
8584,4,118.986139,24.119472
8584,4,118.875912,23.99685
8584,4,118.497601,24.33891
8584,4,119.131746,24.004271
8584,4,118.837311,24.137599
8584,4,119.631013,24.277993
8584,4,118.918596,24.008165
8584,4,118.916713,24.001459
8584,4,119.333184,24.764076
8584,4,119.353039,24.827393
8584,4,119.496958,24.657711
8584,4,119.24888,24.25933
8584,4,119.324831,24.015422
8584,4,118.894312,23.94952
8584,4,119.72263,24.625636
8592,4,119.603813,24.290783
8592,4,119.011052,24.812289
8592,4,118.739505,23.899183
8592,4,118.691752,24.415433
8592,4,118.986555,24.119829
8592,4,118.864691,23.995483
8592,4,118.49636,24.340504
8592,4,119.132627,24.004537
8592,4,118.838489,24.138033
8592,4,119.630832,24.276458
8592,4,118.91547,24.00128
8592,4,119.331849,24.765486
8592,4,119.351582,24.828578
8592,4,119.496424,24.661297
8592,4,119.250265,24.262034
8592,4,119.321565,24.013582
8592,4,119.622016,24.473486
8592,4,118.895276,23.950825
8592,4,119.720284,24.618536
8600,4,119.60193,24.286419
8600,4,119.010176,24.812529
8600,4,118.743016,23.898338
8600,4,118.989169,24.120707
8600,4,118.873817,23.996801
8600,4,118.494386,24.342737
8600,4,119.13675,24.00616
8600,4,118.838411,24.138247
8600,4,119.632842,24.278106
8600,4,118.923358,24.009381
8600,4,118.916004,24.001601
8600,4,119.330549,24.764202
8600,4,119.350013,24.830597
8600,4,119.2481,24.261867
